countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,account.t.d
Singapore,SGP,2011,4359214.0,High income,High income,0.98
Slovak Republic,SVK,2011,4557830.0,High income,High income,0.8
Slovak Republic,SVK,2011,4557830.0,High income,High income,0.79
Slovenia,SVN,2011,1758964.0,High income,High income,0.96
Slovenia,SVN,2011,1758964.0,High income,High income,0.98
South Africa,ZAF,2011,36953226.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.56
South Africa,ZAF,2011,36953226.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.51
Spain,ESP,2011,39626900.0,High income,High income,0.95
Spain,ESP,2011,39626900.0,High income,High income,0.92
Sri Lanka,LKA,2011,15571720.0,South Asia (excluding high income),Lower middle income,0.7
Sri Lanka,LKA,2011,15571720.0,South Asia (excluding high income),Lower middle income,0.67
Sweden,SWE,2011,7820937.0,High income,High income,0.99
Sweden,SWE,2011,7820937.0,High income,High income,0.99
Syrian Arab Republic,SYR,2011,14356499.0,Middle East & North Africa (excluding high income),Low income,0.27
Syrian Arab Republic,SYR,2011,14356499.0,Middle East & North Africa (excluding high income),Low income,0.2
"Taiwan, China",TWN,2011,19429474.0,High income,High income,0.86
"Taiwan, China",TWN,2011,19429474.0,High income,High income,0.88
Tanzania,TZA,2011,24470055.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.21
Tanzania,TZA,2011,24470055.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.14
Thailand,THA,2011,54766867.0,East Asia & Pacific (excluding high income),Upper middle income,0.73
Thailand,THA,2011,54766867.0,East Asia & Pacific (excluding high income),Upper middle income,0.73
Togo,TGO,2011,3932998.0,Sub-Saharan Africa (excluding high income),Low income,0.11
Togo,TGO,2011,3932998.0,Sub-Saharan Africa (excluding high income),Low income,0.09
Trinidad and Tobago,TTO,2011,1050120.0,High income,High income,0.82
Trinidad and Tobago,TTO,2011,1050120.0,High income,High income,0.7
Turkiye,TUR,2011,54201890.0,Europe & Central Asia (excluding high income),Upper middle income,0.82
Turkiye,TUR,2011,54201890.0,Europe & Central Asia (excluding high income),Upper middle income,0.33
Uganda,UGA,2011,16363076.0,Sub-Saharan Africa (excluding high income),Low income,0.26
Uganda,UGA,2011,16363076.0,Sub-Saharan Africa (excluding high income),Low income,0.15
Ukraine,UKR,2011,39900312.0,Europe & Central Asia (excluding high income),Lower middle income,0.44
Ukraine,UKR,2011,39900312.0,Europe & Central Asia (excluding high income),Lower middle income,0.39
United Arab Emirates,ARE,2011,5710622.0,High income,High income,0.69
United Arab Emirates,ARE,2011,5710622.0,High income,High income,0.47
United Kingdom,GBR,2011,51619966.0,High income,High income,0.97
United Kingdom,GBR,2011,51619966.0,High income,High income,0.98
United States,USA,2011,248390172.0,High income,High income,0.92
United States,USA,2011,248390172.0,High income,High income,0.84
Uruguay,URY,2011,2578893.0,High income,High income,0.23
Uruguay,URY,2011,2578893.0,High income,High income,0.24
Uzbekistan,UZB,2011,20171292.0,Europe & Central Asia (excluding high income),Lower middle income,0.24
Uzbekistan,UZB,2011,20171292.0,Europe & Central Asia (excluding high income),Lower middle income,0.21
"Venezuela, RB",VEN,2011,20199432.0,Latin America & Caribbean (excluding high income),Upper middle income,0.53
"Venezuela, RB",VEN,2011,20199432.0,Latin America & Caribbean (excluding high income),Upper middle income,0.36
Viet Nam,VNM,2011,65955596.0,East Asia & Pacific (excluding high income),Lower middle income,0.24
Viet Nam,VNM,2011,65955596.0,East Asia & Pacific (excluding high income),Lower middle income,0.19
West Bank and Gaza,PSE,2011,2199701.0,Middle East & North Africa (excluding high income),Lower middle income,0.29
West Bank and Gaza,PSE,2011,2199701.0,Middle East & North Africa (excluding high income),Lower middle income,0.1
Zambia,ZMB,2011,7506102.0,Sub-Saharan Africa (excluding high income),Low income,0.19
Zambia,ZMB,2011,7506102.0,Sub-Saharan Africa (excluding high income),Low income,0.23
Zimbabwe,ZWE,2011,7608011.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.43
Zimbabwe,ZWE,2011,7608011.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.37
Afghanistan,AFG,2014,16708999.0,South Asia (excluding high income),Low income,
Afghanistan,AFG,2014,16708999.0,South Asia (excluding high income),Low income,
Albania,ALB,2014,2322032.0,Europe & Central Asia (excluding high income),Upper middle income,0.43
Albania,ALB,2014,2322032.0,Europe & Central Asia (excluding high income),Upper middle income,0.34
Algeria,DZA,2014,27628433.0,Middle East & North Africa (excluding high income),Lower middle income,0.61
Algeria,DZA,2014,27628433.0,Middle East & North Africa (excluding high income),Lower middle income,0.4
Angola,AGO,2014,14342950.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.36
Angola,AGO,2014,14342950.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.22
Argentina,ARG,2014,31872846.0,Latin America & Caribbean (excluding high income),Upper middle income,0.49
Argentina,ARG,2014,31872846.0,Latin America & Caribbean (excluding high income),Upper middle income,0.51
Armenia,ARM,2014,2428128.0,Europe & Central Asia (excluding high income),Upper middle income,0.21
Armenia,ARM,2014,2428128.0,Europe & Central Asia (excluding high income),Upper middle income,0.15
Australia,AUS,2014,18749193.0,High income,High income,0.99
Australia,AUS,2014,18749193.0,High income,High income,0.99
Austria,AUT,2014,7260944.0,High income,High income,0.96
Austria,AUT,2014,7260944.0,High income,High income,0.97
Azerbaijan,AZE,2014,7283305.0,Europe & Central Asia (excluding high income),Upper middle income,0.33
Azerbaijan,AZE,2014,7283305.0,Europe & Central Asia (excluding high income),Upper middle income,0.26
Bahrain,BHR,2014,1005566.0,High income,High income,0.9
Bahrain,BHR,2014,1005566.0,High income,High income,0.67
Bangladesh,BGD,2014,105778630.0,South Asia (excluding high income),Lower middle income,0.35
Bangladesh,BGD,2014,105778630.0,South Asia (excluding high income),Lower middle income,0.26
Belarus,BLR,2014,7971997.0,Europe & Central Asia (excluding high income),Upper middle income,0.72
Belarus,BLR,2014,7971997.0,Europe & Central Asia (excluding high income),Upper middle income,0.72
Belgium,BEL,2014,9263588.0,High income,High income,0.97
Belgium,BEL,2014,9263588.0,High income,High income,1.0
Belize,BLZ,2014,228016.0,Latin America & Caribbean (excluding high income),Upper middle income,0.44
Belize,BLZ,2014,228016.0,Latin America & Caribbean (excluding high income),Upper middle income,0.52
Benin,BEN,2014,6043333.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.2
Benin,BEN,2014,6043333.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.14
Bhutan,BTN,2014,523289.0,South Asia (excluding high income),Lower middle income,0.39
Bhutan,BTN,2014,523289.0,South Asia (excluding high income),Lower middle income,0.28
Bolivia,BOL,2014,7120716.0,Latin America & Caribbean (excluding high income),Lower middle income,0.46
Bolivia,BOL,2014,7120716.0,Latin America & Caribbean (excluding high income),Lower middle income,0.38
Bosnia and Herzegovina,BIH,2014,3077307.0,Europe & Central Asia (excluding high income),Upper middle income,0.59
Bosnia and Herzegovina,BIH,2014,3077307.0,Europe & Central Asia (excluding high income),Upper middle income,0.47
Botswana,BWA,2014,1405268.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.55
Botswana,BWA,2014,1405268.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.49
Brazil,BRA,2014,152293155.0,Latin America & Caribbean (excluding high income),Upper middle income,0.72
Brazil,BRA,2014,152293155.0,Latin America & Caribbean (excluding high income),Upper middle income,0.65
Bulgaria,BGR,2014,6271977.0,Europe & Central Asia (excluding high income),Upper middle income,0.63
Bulgaria,BGR,2014,6271977.0,Europe & Central Asia (excluding high income),Upper middle income,0.63
Burkina Faso,BFA,2014,9623020.0,Sub-Saharan Africa (excluding high income),Low income,0.16
Burkina Faso,BFA,2014,9623020.0,Sub-Saharan Africa (excluding high income),Low income,0.13
Burundi,BDI,2014,5630929.0,Sub-Saharan Africa (excluding high income),Low income,
Burundi,BDI,2014,5630929.0,Sub-Saharan Africa (excluding high income),Low income,
Cambodia,KHM,2014,10284331.0,East Asia & Pacific (excluding high income),Lower middle income,0.24
Cambodia,KHM,2014,10284331.0,East Asia & Pacific (excluding high income),Lower middle income,0.2
Cameroon,CMR,2014,12084831.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.14
Cameroon,CMR,2014,12084831.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.1
Canada,CAN,2014,29372810.0,High income,High income,0.99
Canada,CAN,2014,29372810.0,High income,High income,0.99
Chad,TCD,2014,7035329.0,Sub-Saharan Africa (excluding high income),Low income,0.17
Chad,TCD,2014,7035329.0,Sub-Saharan Africa (excluding high income),Low income,0.08
Chile,CHL,2014,14064832.0,High income,High income,0.68
Chile,CHL,2014,14064832.0,High income,High income,0.59
China,CHN,2014,1113693456.0,East Asia & Pacific (excluding high income),Upper middle income,0.81
China,CHN,2014,1113693456.0,East Asia & Pacific (excluding high income),Upper middle income,0.76
Colombia,COL,2014,34309704.0,Latin America & Caribbean (excluding high income),Upper middle income,0.44
Colombia,COL,2014,34309704.0,Latin America & Caribbean (excluding high income),Upper middle income,0.34
"Congo, Dem. Rep.",COD,2014,40959603.0,Sub-Saharan Africa (excluding high income),Low income,0.21
"Congo, Dem. Rep.",COD,2014,40959603.0,Sub-Saharan Africa (excluding high income),Low income,0.14
"Congo, Rep.",COG,2014,2849454.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.19
"Congo, Rep.",COG,2014,2849454.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.15
Costa Rica,CRI,2014,3611461.0,Latin America & Caribbean (excluding high income),Upper middle income,0.69
Costa Rica,CRI,2014,3611461.0,Latin America & Caribbean (excluding high income),Upper middle income,0.6
Cote d'Ivoire,CIV,2014,13848553.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.39
Cote d'Ivoire,CIV,2014,13848553.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.29
Croatia,HRV,2014,3606895.0,High income,High income,0.84
Croatia,HRV,2014,3606895.0,High income,High income,0.88
Cyprus,CYP,2014,991903.0,High income,High income,0.9
Cyprus,CYP,2014,991903.0,High income,High income,0.9
Czechia,CZE,2014,8944904.0,High income,High income,0.85
Czechia,CZE,2014,8944904.0,High income,High income,0.79
Denmark,DNK,2014,4641892.0,High income,High income,1.0
Denmark,DNK,2014,4641892.0,High income,High income,1.0
Dominican Republic,DOM,2014,7152325.0,Latin America & Caribbean (excluding high income),Upper middle income,0.52
Dominican Republic,DOM,2014,7152325.0,Latin America & Caribbean (excluding high income),Upper middle income,0.56
Ecuador,ECU,2014,11054660.0,Latin America & Caribbean (excluding high income),Upper middle income,0.52
Ecuador,ECU,2014,11054660.0,Latin America & Caribbean (excluding high income),Upper middle income,0.41
"Egypt, Arab Rep.",EGY,2014,63009609.0,Middle East & North Africa (excluding high income),Lower middle income,0.19
"Egypt, Arab Rep.",EGY,2014,63009609.0,Middle East & North Africa (excluding high income),Lower middle income,0.09
El Salvador,SLV,2014,4304307.0,Latin America & Caribbean (excluding high income),Lower middle income,0.42
El Salvador,SLV,2014,4304307.0,Latin America & Caribbean (excluding high income),Lower middle income,0.32
Estonia,EST,2014,1110561.0,High income,High income,0.98
Estonia,EST,2014,1110561.0,High income,High income,0.97
Ethiopia,ETH,2014,55109169.0,Sub-Saharan Africa (excluding high income),Low income,0.23
Ethiopia,ETH,2014,55109169.0,Sub-Saharan Africa (excluding high income),Low income,0.21
Finland,FIN,2014,4545771.0,High income,High income,1.0
Finland,FIN,2014,4545771.0,High income,High income,1.0
France,FRA,2014,53825137.0,High income,High income,0.98
France,FRA,2014,53825137.0,High income,High income,0.95
Gabon,GAB,2014,1209169.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.35
Gabon,GAB,2014,1209169.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.31
Georgia,GEO,2014,3020250.0,Europe & Central Asia (excluding high income),Upper middle income,0.4
Georgia,GEO,2014,3020250.0,Europe & Central Asia (excluding high income),Upper middle income,0.4
Germany,DEU,2014,69974132.0,High income,High income,0.98
Germany,DEU,2014,69974132.0,High income,High income,0.99
Ghana,GHA,2014,16743744.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.42
Ghana,GHA,2014,16743744.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.39
Greece,GRC,2014,9357686.0,High income,High income,0.88
Greece,GRC,2014,9357686.0,High income,High income,0.87
Guatemala,GTM,2014,9616393.0,Latin America & Caribbean (excluding high income),Upper middle income,0.49
Guatemala,GTM,2014,9616393.0,Latin America & Caribbean (excluding high income),Upper middle income,0.35
Guinea,GIN,2014,6293415.0,Sub-Saharan Africa (excluding high income),Low income,
Guinea,GIN,2014,6293415.0,Sub-Saharan Africa (excluding high income),Low income,
Haiti,HTI,2014,6636287.0,Latin America & Caribbean (excluding high income),Lower middle income,0.22
Haiti,HTI,2014,6636287.0,Latin America & Caribbean (excluding high income),Lower middle income,0.16
Honduras,HND,2014,5672647.0,Latin America & Caribbean (excluding high income),Lower middle income,0.36
Honduras,HND,2014,5672647.0,Latin America & Caribbean (excluding high income),Lower middle income,0.27
"Hong Kong SAR, China",HKG,2014,6342961.0,High income,High income,0.96
"Hong Kong SAR, China",HKG,2014,6342961.0,High income,High income,0.96
Hungary,HUN,2014,8464202.0,High income,High income,0.72
Hungary,HUN,2014,8464202.0,High income,High income,0.72
India,IND,2014,907853291.0,South Asia (excluding high income),Lower middle income,0.63
India,IND,2014,907853291.0,South Asia (excluding high income),Lower middle income,0.43
Indonesia,IDN,2014,185894322.0,East Asia & Pacific (excluding high income),Lower middle income,0.35
Indonesia,IDN,2014,185894322.0,East Asia & Pacific (excluding high income),Lower middle income,0.37
"Iran, Islamic Rep.",IRN,2014,61676328.0,Middle East & North Africa (excluding high income),Lower middle income,0.97
"Iran, Islamic Rep.",IRN,2014,61676328.0,Middle East & North Africa (excluding high income),Lower middle income,0.87
Iraq,IRQ,2014,20884823.0,Middle East & North Africa (excluding high income),Upper middle income,0.15
Iraq,IRQ,2014,20884823.0,Middle East & North Africa (excluding high income),Upper middle income,0.07
Ireland,IRL,2014,3629630.0,High income,High income,0.95
Ireland,IRL,2014,3629630.0,High income,High income,0.95
Israel,ISR,2014,5787501.0,High income,High income,0.9
Israel,ISR,2014,5787501.0,High income,High income,0.9
Italy,ITA,2014,51850742.0,High income,High income,0.92
Italy,ITA,2014,51850742.0,High income,High income,0.83
Jamaica,JAM,2014,2096466.0,Latin America & Caribbean (excluding high income),Upper middle income,0.79
Jamaica,JAM,2014,2096466.0,Latin America & Caribbean (excluding high income),Upper middle income,0.78
Japan,JPN,2014,110762343.0,High income,High income,0.96
Japan,JPN,2014,110762343.0,High income,High income,0.97
Jordan,JOR,2014,5205320.0,Middle East & North Africa (excluding high income),Upper middle income,0.33
Jordan,JOR,2014,5205320.0,Middle East & North Africa (excluding high income),Upper middle income,0.16
Kazakhstan,KAZ,2014,12875804.0,Europe & Central Asia (excluding high income),Upper middle income,0.52
Kazakhstan,KAZ,2014,12875804.0,Europe & Central Asia (excluding high income),Upper middle income,0.56
Kenya,KEN,2014,25714887.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.79
Kenya,KEN,2014,25714887.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.71
"Korea, Rep.",KOR,2014,43035419.0,High income,High income,0.95
"Korea, Rep.",KOR,2014,43035419.0,High income,High income,0.93
Kosovo,XKX,2014,1334099.0,Europe & Central Asia (excluding high income),Upper middle income,0.59
Kosovo,XKX,2014,1334099.0,Europe & Central Asia (excluding high income),Upper middle income,0.36
Kuwait,KWT,2014,2736473.0,High income,High income,0.79
Kuwait,KWT,2014,2736473.0,High income,High income,0.64
Kyrgyz Republic,KGZ,2014,3978542.0,Europe & Central Asia (excluding high income),Lower middle income,0.18
Kyrgyz Republic,KGZ,2014,3978542.0,Europe & Central Asia (excluding high income),Lower middle income,0.19
Latvia,LVA,2014,1719348.0,High income,High income,0.9
Latvia,LVA,2014,1719348.0,High income,High income,0.9
Lebanon,LBN,2014,4265657.0,Middle East & North Africa (excluding high income),Lower middle income,0.62
Lebanon,LBN,2014,4265657.0,Middle East & North Africa (excluding high income),Lower middle income,0.33
Lithuania,LTU,2014,2524428.0,High income,High income,0.78
Lithuania,LTU,2014,2524428.0,High income,High income,0.78
Luxembourg,LUX,2014,451457.0,High income,High income,0.96
Luxembourg,LUX,2014,451457.0,High income,High income,0.97
Madagascar,MDG,2014,13785487.0,Sub-Saharan Africa (excluding high income),Low income,
Madagascar,MDG,2014,13785487.0,Sub-Saharan Africa (excluding high income),Low income,
Malawi,MWI,2014,8735190.0,Sub-Saharan Africa (excluding high income),Low income,0.22
Malawi,MWI,2014,8735190.0,Sub-Saharan Africa (excluding high income),Low income,0.14
Malaysia,MYS,2014,22158615.0,East Asia & Pacific (excluding high income),Upper middle income,0.83
Malaysia,MYS,2014,22158615.0,East Asia & Pacific (excluding high income),Upper middle income,0.78
Mali,MLI,2014,9100789.0,Sub-Saharan Africa (excluding high income),Low income,0.26
Mali,MLI,2014,9100789.0,Sub-Saharan Africa (excluding high income),Low income,0.15
Malta,MLT,2014,364279.0,High income,High income,0.97
Malta,MLT,2014,364279.0,High income,High income,0.96
Mauritania,MRT,2014,2084692.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.25
Mauritania,MRT,2014,2084692.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.21
Mauritius,MUS,2014,1010413.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.85
Mauritius,MUS,2014,1010413.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.8
Mexico,MEX,2014,84399247.0,Latin America & Caribbean (excluding high income),Upper middle income,0.39
Mexico,MEX,2014,84399247.0,Latin America & Caribbean (excluding high income),Upper middle income,0.39
Moldova,MDA,2014,2361002.0,Europe & Central Asia (excluding high income),Upper middle income,0.16
Moldova,MDA,2014,2361002.0,Europe & Central Asia (excluding high income),Upper middle income,0.19
Mongolia,MNG,2014,2074233.0,East Asia & Pacific (excluding high income),Lower middle income,0.9
Mongolia,MNG,2014,2074233.0,East Asia & Pacific (excluding high income),Lower middle income,0.93
Montenegro,MNE,2014,504976.0,Europe & Central Asia (excluding high income),Upper middle income,0.62
Montenegro,MNE,2014,504976.0,Europe & Central Asia (excluding high income),Upper middle income,0.58
Myanmar,MMR,2014,36618649.0,East Asia & Pacific (excluding high income),Lower middle income,0.29
Myanmar,MMR,2014,36618649.0,East Asia & Pacific (excluding high income),Lower middle income,0.17
Namibia,NAM,2014,1427950.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.61
Namibia,NAM,2014,1427950.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.57
Nepal,NPL,2014,18161615.0,South Asia (excluding high income),Lower middle income,0.37
Nepal,NPL,2014,18161615.0,South Asia (excluding high income),Lower middle income,0.31
Netherlands,NLD,2014,13933854.0,High income,High income,0.99
Netherlands,NLD,2014,13933854.0,High income,High income,0.99
New Zealand,NZL,2014,3534713.0,High income,High income,1.0
New Zealand,NZL,2014,3534713.0,High income,High income,0.99
Nicaragua,NIC,2014,4012287.0,Latin America & Caribbean (excluding high income),Lower middle income,0.25
Nicaragua,NIC,2014,4012287.0,Latin America & Caribbean (excluding high income),Lower middle income,0.14
Niger,NER,2014,9371030.0,Sub-Saharan Africa (excluding high income),Low income,
Niger,NER,2014,9371030.0,Sub-Saharan Africa (excluding high income),Low income,
Nigeria,NGA,2014,100567840.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.54
Nigeria,NGA,2014,100567840.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.34
North Macedonia,MKD,2014,1565432.0,Europe & Central Asia (excluding high income),Upper middle income,0.8
North Macedonia,MKD,2014,1565432.0,Europe & Central Asia (excluding high income),Upper middle income,0.64
Norway,NOR,2014,4150602.0,High income,High income,1.0
Norway,NOR,2014,4150602.0,High income,High income,1.0
Pakistan,PAK,2014,128875593.0,South Asia (excluding high income),Lower middle income,0.21
Pakistan,PAK,2014,128875593.0,South Asia (excluding high income),Lower middle income,0.05
Panama,PAN,2014,2737867.0,High income,High income,0.47
Panama,PAN,2014,2737867.0,High income,High income,0.4
Peru,PER,2014,21413567.0,Latin America & Caribbean (excluding high income),Upper middle income,0.36
Peru,PER,2014,21413567.0,Latin America & Caribbean (excluding high income),Upper middle income,0.22
Philippines,PHL,2014,66911959.0,East Asia & Pacific (excluding high income),Lower middle income,0.24
Philippines,PHL,2014,66911959.0,East Asia & Pacific (excluding high income),Lower middle income,0.38
Poland,POL,2014,32293711.0,High income,High income,0.83
Poland,POL,2014,32293711.0,High income,High income,0.73
Portugal,PRT,2014,8911922.0,High income,High income,0.89
Portugal,PRT,2014,8911922.0,High income,High income,0.86
Puerto Rico,PRI,2014,2955855.0,High income,High income,0.74
Puerto Rico,PRI,2014,2955855.0,High income,High income,0.66
Romania,ROU,2014,16846776.0,High income,High income,0.65
Romania,ROU,2014,16846776.0,High income,High income,0.57
Russian Federation,RUS,2014,120673872.0,Europe & Central Asia (excluding high income),Upper middle income,0.64
Russian Federation,RUS,2014,120673872.0,Europe & Central Asia (excluding high income),Upper middle income,0.7
Rwanda,RWA,2014,6472142.0,Sub-Saharan Africa (excluding high income),Low income,0.49
Rwanda,RWA,2014,6472142.0,Sub-Saharan Africa (excluding high income),Low income,0.35
Saudi Arabia,SAU,2014,20496432.0,High income,High income,0.75
Saudi Arabia,SAU,2014,20496432.0,High income,High income,0.61
Senegal,SEN,2014,7858967.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.2
Senegal,SEN,2014,7858967.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.11
Serbia,SRB,2014,6141282.0,Europe & Central Asia (excluding high income),Upper middle income,0.83
Serbia,SRB,2014,6141282.0,Europe & Central Asia (excluding high income),Upper middle income,0.83
Sierra Leone,SLE,2014,3858836.0,Sub-Saharan Africa (excluding high income),Low income,0.19
Sierra Leone,SLE,2014,3858836.0,Sub-Saharan Africa (excluding high income),Low income,0.12
Singapore,SGP,2014,4691514.0,High income,High income,0.97
Singapore,SGP,2014,4691514.0,High income,High income,0.96
Slovak Republic,SVK,2014,4582684.0,High income,High income,0.74
Slovak Republic,SVK,2014,4582684.0,High income,High income,0.8
Slovenia,SVN,2014,1759867.0,High income,High income,0.98
Slovenia,SVN,2014,1759867.0,High income,High income,0.97
Somalia,SOM,2014,6719620.0,Sub-Saharan Africa (excluding high income),Low income,0.44
Somalia,SOM,2014,6719620.0,Sub-Saharan Africa (excluding high income),Low income,0.34
South Africa,ZAF,2014,38992463.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.7
South Africa,ZAF,2014,38992463.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.7
Spain,ESP,2014,39593406.0,High income,High income,0.98
Spain,ESP,2014,39593406.0,High income,High income,0.98
Sri Lanka,LKA,2014,15433197.0,South Asia (excluding high income),Lower middle income,0.82
Sri Lanka,LKA,2014,15433197.0,South Asia (excluding high income),Lower middle income,0.83
Sudan,SDN,2014,21021157.0,Sub-Saharan Africa (excluding high income),Low income,0.2
Sudan,SDN,2014,21021157.0,Sub-Saharan Africa (excluding high income),Low income,0.1
Sweden,SWE,2014,7971436.0,High income,High income,1.0
Sweden,SWE,2014,7971436.0,High income,High income,1.0
Switzerland,CHE,2014,6883205.0,High income,High income,0.99
Switzerland,CHE,2014,6883205.0,High income,High income,0.97
"Taiwan, China",TWN,2014,19968635.0,High income,High income,0.92
"Taiwan, China",TWN,2014,19968635.0,High income,High income,0.9
Tajikistan,TJK,2014,5217089.0,Europe & Central Asia (excluding high income),Lower middle income,0.14
Tajikistan,TJK,2014,5217089.0,Europe & Central Asia (excluding high income),Lower middle income,0.09
Tanzania,TZA,2014,26884351.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.45
Tanzania,TZA,2014,26884351.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.34
Thailand,THA,2014,56707280.0,East Asia & Pacific (excluding high income),Upper middle income,0.81
Thailand,THA,2014,56707280.0,East Asia & Pacific (excluding high income),Upper middle income,0.75
Togo,TGO,2014,4254423.0,Sub-Saharan Africa (excluding high income),Low income,0.21
Togo,TGO,2014,4254423.0,Sub-Saharan Africa (excluding high income),Low income,0.15
Tunisia,TUN,2014,8426960.0,Middle East & North Africa (excluding high income),Lower middle income,0.34
Tunisia,TUN,2014,8426960.0,Middle East & North Africa (excluding high income),Lower middle income,0.21
Turkiye,TUR,2014,57336171.0,Europe & Central Asia (excluding high income),Upper middle income,0.69
Turkiye,TUR,2014,57336171.0,Europe & Central Asia (excluding high income),Upper middle income,0.44
Uganda,UGA,2014,18082753.0,Sub-Saharan Africa (excluding high income),Low income,0.52
Uganda,UGA,2014,18082753.0,Sub-Saharan Africa (excluding high income),Low income,0.37
Ukraine,UKR,2014,39385204.0,Europe & Central Asia (excluding high income),Lower middle income,0.54
Ukraine,UKR,2014,39385204.0,Europe & Central Asia (excluding high income),Lower middle income,0.52
United Arab Emirates,ARE,2014,6398423.0,High income,High income,0.9
United Arab Emirates,ARE,2014,6398423.0,High income,High income,0.68
United Kingdom,GBR,2014,52712003.0,High income,High income,0.99
United Kingdom,GBR,2014,52712003.0,High income,High income,0.99
United States,USA,2014,254715188.0,High income,High income,0.92
United States,USA,2014,254715188.0,High income,High income,0.95
Uruguay,URY,2014,2625287.0,High income,High income,0.51
Uruguay,URY,2014,2625287.0,High income,High income,0.41
Uzbekistan,UZB,2014,21374576.0,Europe & Central Asia (excluding high income),Lower middle income,0.42
Uzbekistan,UZB,2014,21374576.0,Europe & Central Asia (excluding high income),Lower middle income,0.39
"Venezuela, RB",VEN,2014,21274157.0,Latin America & Caribbean (excluding high income),Upper middle income,0.61
"Venezuela, RB",VEN,2014,21274157.0,Latin America & Caribbean (excluding high income),Upper middle income,0.53
Viet Nam,VNM,2014,68893679.0,East Asia & Pacific (excluding high income),Lower middle income,0.3
Viet Nam,VNM,2014,68893679.0,East Asia & Pacific (excluding high income),Lower middle income,0.32
West Bank and Gaza,PSE,2014,2416583.0,Middle East & North Africa (excluding high income),Lower middle income,0.27
West Bank and Gaza,PSE,2014,2416583.0,Middle East & North Africa (excluding high income),Lower middle income,0.21
"Yemen, Rep.",YEM,2014,16904246.0,Middle East & North Africa (excluding high income),Low income,
"Yemen, Rep.",YEM,2014,16904246.0,Middle East & North Africa (excluding high income),Low income,
Zambia,ZMB,2014,8358295.0,Sub-Saharan Africa (excluding high income),Low income,0.38
Zambia,ZMB,2014,8358295.0,Sub-Saharan Africa (excluding high income),Low income,0.33
Zimbabwe,ZWE,2014,7862617.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.36
Zimbabwe,ZWE,2014,7862617.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.29
Afghanistan,AFG,2017,18807229.0,South Asia (excluding high income),Low income,0.23
Afghanistan,AFG,2017,18807229.0,South Asia (excluding high income),Low income,0.07
Albania,ALB,2017,2340965.0,Europe & Central Asia (excluding high income),Upper middle income,0.42
Albania,ALB,2017,2340965.0,Europe & Central Asia (excluding high income),Upper middle income,0.38
Algeria,DZA,2017,28799702.0,Middle East & North Africa (excluding high income),Lower middle income,0.56
Algeria,DZA,2017,28799702.0,Middle East & North Africa (excluding high income),Lower middle income,0.29
Argentina,ARG,2017,33036043.0,Latin America & Caribbean (excluding high income),Upper middle income,0.46
Argentina,ARG,2017,33036043.0,Latin America & Caribbean (excluding high income),Upper middle income,0.51
Armenia,ARM,2017,2384230.0,Europe & Central Asia (excluding high income),Upper middle income,0.56
Armenia,ARM,2017,2384230.0,Europe & Central Asia (excluding high income),Upper middle income,0.41
Australia,AUS,2017,19621820.0,High income,High income,1.0
Australia,AUS,2017,19621820.0,High income,High income,0.99
Austria,AUT,2017,7481549.0,High income,High income,0.98
