countrynewwb,codewb,year,pop_adult,regionwb24_hi,incomegroupwb24,account_t_d,capital_api,region_api,subregion_api,flag_url,local_flag_path
Brazil,BRA,2014,152293155.0,Latin America & Caribbean (excluding high income),Upper middle income,0.68,Brasília,Americas,South America,https://flagcdn.com/w320/br.png,..\output\imagenes_procesadas\br.jpg
Bulgaria,BGR,2014,6271977.0,Europe & Central Asia (excluding high income),Upper middle income,0.63,Sofia,Europe,Eastern Europe,https://flagcdn.com/w320/bg.png,..\output\imagenes_procesadas\bg.jpg
Burkina Faso,BFA,2014,9623020.0,Sub-Saharan Africa (excluding high income),Low income,0.14,Ouagadougou,Africa,Western Africa,https://flagcdn.com/w320/bf.png,..\output\imagenes_procesadas\bf.jpg
Burundi,BDI,2014,5630929.0,Sub-Saharan Africa (excluding high income),Low income,0.07,Gitega,Africa,Eastern Africa,https://flagcdn.com/w320/bi.png,..\output\imagenes_procesadas\bi.jpg
Cambodia,KHM,2014,10284331.0,East Asia & Pacific (excluding high income),Lower middle income,0.22,Phnom Penh,Asia,South-Eastern Asia,https://flagcdn.com/w320/kh.png,..\output\imagenes_procesadas\kh.jpg
Cameroon,CMR,2014,12084831.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.12,Yaoundé,Africa,Middle Africa,https://flagcdn.com/w320/cm.png,..\output\imagenes_procesadas\cm.jpg
Canada,CAN,2014,29372810.0,High income,High income,0.99,Ottawa,Americas,Northern America,https://flagcdn.com/w320/ca.png,..\output\imagenes_procesadas\ca.jpg
Chad,TCD,2014,7035329.0,Sub-Saharan Africa (excluding high income),Low income,0.12,N'Djamena,Africa,Middle Africa,https://flagcdn.com/w320/td.png,..\output\imagenes_procesadas\td.jpg
Chile,CHL,2014,14064832.0,High income,High income,0.63,Santiago,Americas,South America,https://flagcdn.com/w320/cl.png,..\output\imagenes_procesadas\cl.jpg
China,CHN,2014,1113693456.0,East Asia & Pacific (excluding high income),Upper middle income,0.79,Beijing,Asia,Eastern Asia,https://flagcdn.com/w320/cn.png,..\output\imagenes_procesadas\cn.jpg
Colombia,COL,2014,34309704.0,Latin America & Caribbean (excluding high income),Upper middle income,0.39,Bogotá,Americas,South America,https://flagcdn.com/w320/co.png,..\output\imagenes_procesadas\co.jpg
Costa Rica,CRI,2014,3611461.0,Latin America & Caribbean (excluding high income),Upper middle income,0.65,San José,Americas,Central America,https://flagcdn.com/w320/cr.png,..\output\imagenes_procesadas\cr.jpg
Croatia,HRV,2014,3606895.0,High income,High income,0.86,Zagreb,Europe,Southern Europe,https://flagcdn.com/w320/hr.png,..\output\imagenes_procesadas\hr.jpg
Cyprus,CYP,2014,991903.0,High income,High income,0.9,Nicosia,Europe,Southern Europe,https://flagcdn.com/w320/cy.png,..\output\imagenes_procesadas\cy.jpg
Denmark,DNK,2014,4641892.0,High income,High income,1.0,Copenhagen,Europe,Northern Europe,https://flagcdn.com/w320/dk.png,..\output\imagenes_procesadas\dk.jpg
Dominican Republic,DOM,2014,7152325.0,Latin America & Caribbean (excluding high income),Upper middle income,0.54,Santo Domingo,Americas,Caribbean,https://flagcdn.com/w320/do.png,..\output\imagenes_procesadas\do.jpg
Ecuador,ECU,2014,11054660.0,Latin America & Caribbean (excluding high income),Upper middle income,0.46,Quito,Americas,South America,https://flagcdn.com/w320/ec.png,..\output\imagenes_procesadas\ec.jpg
El Salvador,SLV,2014,4304307.0,Latin America & Caribbean (excluding high income),Lower middle income,0.37,San Salvador,Americas,Central America,https://flagcdn.com/w320/sv.png,..\output\imagenes_procesadas\sv.jpg
Estonia,EST,2014,1110561.0,High income,High income,0.98,Tallinn,Europe,Northern Europe,https://flagcdn.com/w320/ee.png,..\output\imagenes_procesadas\ee.jpg
Ethiopia,ETH,2014,55109169.0,Sub-Saharan Africa (excluding high income),Low income,0.22,Addis Ababa,Africa,Eastern Africa,https://flagcdn.com/w320/et.png,..\output\imagenes_procesadas\et.jpg
Finland,FIN,2014,4545771.0,High income,High income,1.0,Helsinki,Europe,Northern Europe,https://flagcdn.com/w320/fi.png,..\output\imagenes_procesadas\fi.jpg
France,FRA,2014,53825137.0,High income,High income,0.97,Paris,Europe,Western Europe,https://flagcdn.com/w320/fr.png,..\output\imagenes_procesadas\fr.jpg
Gabon,GAB,2014,1209169.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.33,Libreville,Africa,Middle Africa,https://flagcdn.com/w320/ga.png,..\output\imagenes_procesadas\ga.jpg
Georgia,GEO,2014,3020250.0,Europe & Central Asia (excluding high income),Upper middle income,0.4,Tbilisi,Asia,Western Asia,https://flagcdn.com/w320/ge.png,..\output\imagenes_procesadas\ge.jpg
Germany,DEU,2014,69974132.0,High income,High income,0.99,Berlin,Europe,Central Europe,https://flagcdn.com/w320/de.png,..\output\imagenes_procesadas\de.jpg
Ghana,GHA,2014,16743744.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.41,Accra,Africa,Western Africa,https://flagcdn.com/w320/gh.png,..\output\imagenes_procesadas\gh.jpg
Greece,GRC,2014,9357686.0,High income,High income,0.88,Athens,Europe,Southern Europe,https://flagcdn.com/w320/gr.png,..\output\imagenes_procesadas\gr.jpg
Guatemala,GTM,2014,9616393.0,Latin America & Caribbean (excluding high income),Upper middle income,0.41,Guatemala City,Americas,Central America,https://flagcdn.com/w320/gt.png,..\output\imagenes_procesadas\gt.jpg
Guinea,GIN,2014,6293415.0,Sub-Saharan Africa (excluding high income),Low income,0.07,Conakry,Africa,Western Africa,https://flagcdn.com/w320/gn.png,..\output\imagenes_procesadas\gn.jpg
Haiti,HTI,2014,6636287.0,Latin America & Caribbean (excluding high income),Lower middle income,0.19,Port-au-Prince,Americas,Caribbean,https://flagcdn.com/w320/ht.png,..\output\imagenes_procesadas\ht.jpg
Honduras,HND,2014,5672647.0,Latin America & Caribbean (excluding high income),Lower middle income,0.31,Tegucigalpa,Americas,Central America,https://flagcdn.com/w320/hn.png,..\output\imagenes_procesadas\hn.jpg
Hungary,HUN,2014,8464202.0,High income,High income,0.72,Budapest,Europe,Central Europe,https://flagcdn.com/w320/hu.png,..\output\imagenes_procesadas\hu.jpg
India,IND,2014,907853291.0,South Asia (excluding high income),Lower middle income,0.53,New Delhi,Asia,Southern Asia,https://flagcdn.com/w320/in.png,..\output\imagenes_procesadas\in.jpg
Indonesia,IDN,2014,185894322.0,East Asia & Pacific (excluding high income),Lower middle income,0.36,Jakarta,Asia,South-Eastern Asia,https://flagcdn.com/w320/id.png,..\output\imagenes_procesadas\id.jpg
Iraq,IRQ,2014,20884823.0,Middle East & North Africa (excluding high income),Upper middle income,0.11,Baghdad,Asia,Western Asia,https://flagcdn.com/w320/iq.png,..\output\imagenes_procesadas\iq.jpg
Ireland,IRL,2014,3629630.0,High income,High income,0.95,Dublin,Europe,Northern Europe,https://flagcdn.com/w320/ie.png,..\output\imagenes_procesadas\ie.jpg
Israel,ISR,2014,5787501.0,High income,High income,0.9,Jerusalem,Asia,Western Asia,https://flagcdn.com/w320/il.png,..\output\imagenes_procesadas\il.jpg
Italy,ITA,2014,51850742.0,High income,High income,0.87,Rome,Europe,Southern Europe,https://flagcdn.com/w320/it.png,..\output\imagenes_procesadas\it.jpg
Jamaica,JAM,2014,2096466.0,Latin America & Caribbean (excluding high income),Upper middle income,0.78,Kingston,Americas,Caribbean,https://flagcdn.com/w320/jm.png,..\output\imagenes_procesadas\jm.jpg
Japan,JPN,2014,110762343.0,High income,High income,0.97,Tokyo,Asia,Eastern Asia,https://flagcdn.com/w320/jp.png,..\output\imagenes_procesadas\jp.jpg
Jordan,JOR,2014,5205320.0,Middle East & North Africa (excluding high income),Upper middle income,0.25,Amman,Asia,Western Asia,https://flagcdn.com/w320/jo.png,..\output\imagenes_procesadas\jo.jpg
Kazakhstan,KAZ,2014,12875804.0,Europe & Central Asia (excluding high income),Upper middle income,0.54,Astana,Asia,Central Asia,https://flagcdn.com/w320/kz.png,..\output\imagenes_procesadas\kz.jpg
Kenya,KEN,2014,25714887.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.75,Nairobi,Africa,Eastern Africa,https://flagcdn.com/w320/ke.png,..\output\imagenes_procesadas\ke.jpg
Kosovo,XKX,2014,1334099.0,Europe & Central Asia (excluding high income),Upper middle income,0.48,Pristina,Europe,Eastern Europe,https://flagcdn.com/w320/xk.png,..\output\imagenes_procesadas\xk.jpg
Kuwait,KWT,2014,2736473.0,High income,High income,0.73,Kuwait City,Asia,Western Asia,https://flagcdn.com/w320/kw.png,..\output\imagenes_procesadas\kw.jpg
Latvia,LVA,2014,1719348.0,High income,High income,0.9,Riga,Europe,Northern Europe,https://flagcdn.com/w320/lv.png,..\output\imagenes_procesadas\lv.jpg
Lebanon,LBN,2014,4265657.0,Middle East & North Africa (excluding high income),Lower middle income,0.47,Beirut,Asia,Western Asia,https://flagcdn.com/w320/lb.png,..\output\imagenes_procesadas\lb.jpg
Lithuania,LTU,2014,2524428.0,High income,High income,0.78,Vilnius,Europe,Northern Europe,https://flagcdn.com/w320/lt.png,..\output\imagenes_procesadas\lt.jpg
Luxembourg,LUX,2014,451457.0,High income,High income,0.96,Luxembourg,Europe,Western Europe,https://flagcdn.com/w320/lu.png,..\output\imagenes_procesadas\lu.jpg
Madagascar,MDG,2014,13785487.0,Sub-Saharan Africa (excluding high income),Low income,0.09,Antananarivo,Africa,Eastern Africa,https://flagcdn.com/w320/mg.png,..\output\imagenes_procesadas\mg.jpg
Malawi,MWI,2014,8735190.0,Sub-Saharan Africa (excluding high income),Low income,0.18,Lilongwe,Africa,Eastern Africa,https://flagcdn.com/w320/mw.png,..\output\imagenes_procesadas\mw.jpg
Malaysia,MYS,2014,22158615.0,East Asia & Pacific (excluding high income),Upper middle income,0.81,Kuala Lumpur,Asia,South-Eastern Asia,https://flagcdn.com/w320/my.png,..\output\imagenes_procesadas\my.jpg
Mali,MLI,2014,9100789.0,Sub-Saharan Africa (excluding high income),Low income,0.2,Bamako,Africa,Western Africa,https://flagcdn.com/w320/ml.png,..\output\imagenes_procesadas\ml.jpg
Malta,MLT,2014,364279.0,High income,High income,0.96,Valletta,Europe,Southern Europe,https://flagcdn.com/w320/mt.png,..\output\imagenes_procesadas\mt.jpg
Mauritania,MRT,2014,2084692.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.23,Nouakchott,Africa,Western Africa,https://flagcdn.com/w320/mr.png,..\output\imagenes_procesadas\mr.jpg
Mauritius,MUS,2014,1010413.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.82,Port Louis,Africa,Eastern Africa,https://flagcdn.com/w320/mu.png,..\output\imagenes_procesadas\mu.jpg
Mexico,MEX,2014,84399247.0,Latin America & Caribbean (excluding high income),Upper middle income,0.39,Mexico City,Americas,North America,https://flagcdn.com/w320/mx.png,..\output\imagenes_procesadas\mx.jpg
Moldova,MDA,2014,2361002.0,Europe & Central Asia (excluding high income),Upper middle income,0.18,Chișinău,Europe,Eastern Europe,https://flagcdn.com/w320/md.png,..\output\imagenes_procesadas\md.jpg
Mongolia,MNG,2014,2074233.0,East Asia & Pacific (excluding high income),Lower middle income,0.92,Ulan Bator,Asia,Eastern Asia,https://flagcdn.com/w320/mn.png,..\output\imagenes_procesadas\mn.jpg
Montenegro,MNE,2014,504976.0,Europe & Central Asia (excluding high income),Upper middle income,0.6,Podgorica,Europe,Southern Europe,https://flagcdn.com/w320/me.png,..\output\imagenes_procesadas\me.jpg
Myanmar,MMR,2014,36618649.0,East Asia & Pacific (excluding high income),Lower middle income,0.23,Naypyidaw,Asia,South-Eastern Asia,https://flagcdn.com/w320/mm.png,..\output\imagenes_procesadas\mm.jpg
Namibia,NAM,2014,1427950.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.59,Windhoek,Africa,Southern Africa,https://flagcdn.com/w320/na.png,..\output\imagenes_procesadas\na.jpg
Nepal,NPL,2014,18161615.0,South Asia (excluding high income),Lower middle income,0.34,Kathmandu,Asia,Southern Asia,https://flagcdn.com/w320/np.png,..\output\imagenes_procesadas\np.jpg
Netherlands,NLD,2014,13933854.0,High income,High income,0.99,Amsterdam,Europe,Western Europe,https://flagcdn.com/w320/nl.png,..\output\imagenes_procesadas\nl.jpg
New Zealand,NZL,2014,3534713.0,High income,High income,1.0,Wellington,Oceania,Australia and New Zealand,https://flagcdn.com/w320/nz.png,..\output\imagenes_procesadas\nz.jpg
Nicaragua,NIC,2014,4012287.0,Latin America & Caribbean (excluding high income),Lower middle income,0.19,Managua,Americas,Central America,https://flagcdn.com/w320/ni.png,..\output\imagenes_procesadas\ni.jpg
Niger,NER,2014,9371030.0,Sub-Saharan Africa (excluding high income),Low income,0.07,Niamey,Africa,Western Africa,https://flagcdn.com/w320/ne.png,..\output\imagenes_procesadas\ne.jpg
Nigeria,NGA,2014,100567840.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.44,Abuja,Africa,Western Africa,https://flagcdn.com/w320/ng.png,..\output\imagenes_procesadas\ng.jpg
North Macedonia,MKD,2014,1565432.0,Europe & Central Asia (excluding high income),Upper middle income,0.72,Skopje,Europe,Southern Europe,https://flagcdn.com/w320/mk.png,..\output\imagenes_procesadas\mk.jpg
Norway,NOR,2014,4150602.0,High income,High income,1.0,Oslo,Europe,Northern Europe,https://flagcdn.com/w320/no.png,..\output\imagenes_procesadas\no.jpg
Pakistan,PAK,2014,128875593.0,South Asia (excluding high income),Lower middle income,0.13,Islamabad,Asia,Southern Asia,https://flagcdn.com/w320/pk.png,..\output\imagenes_procesadas\pk.jpg
Panama,PAN,2014,2737867.0,High income,High income,0.44,Panama City,Americas,Central America,https://flagcdn.com/w320/pa.png,..\output\imagenes_procesadas\pa.jpg
Peru,PER,2014,21413567.0,Latin America & Caribbean (excluding high income),Upper middle income,0.29,Lima,Americas,South America,https://flagcdn.com/w320/pe.png,..\output\imagenes_procesadas\pe.jpg
Philippines,PHL,2014,66911959.0,East Asia & Pacific (excluding high income),Lower middle income,0.31,Manila,Asia,South-Eastern Asia,https://flagcdn.com/w320/ph.png,..\output\imagenes_procesadas\ph.jpg
Poland,POL,2014,32293711.0,High income,High income,0.78,Warsaw,Europe,Central Europe,https://flagcdn.com/w320/pl.png,..\output\imagenes_procesadas\pl.jpg
Portugal,PRT,2014,8911922.0,High income,High income,0.87,Lisbon,Europe,Southern Europe,https://flagcdn.com/w320/pt.png,..\output\imagenes_procesadas\pt.jpg
Puerto Rico,PRI,2014,2955855.0,High income,High income,0.7,San Juan,Americas,Caribbean,https://flagcdn.com/w320/pr.png,..\output\imagenes_procesadas\pr.jpg
Romania,ROU,2014,16846776.0,High income,High income,0.61,Bucharest,Europe,Eastern Europe,https://flagcdn.com/w320/ro.png,..\output\imagenes_procesadas\ro.jpg
Russian Federation,RUS,2014,120673872.0,Europe & Central Asia (excluding high income),Upper middle income,0.67,Moscow,Europe,Eastern Europe,https://flagcdn.com/w320/ru.png,..\output\imagenes_procesadas\ru.jpg
Rwanda,RWA,2014,6472142.0,Sub-Saharan Africa (excluding high income),Low income,0.42,Kigali,Africa,Eastern Africa,https://flagcdn.com/w320/rw.png,..\output\imagenes_procesadas\rw.jpg
Saudi Arabia,SAU,2014,20496432.0,High income,High income,0.69,Riyadh,Asia,Western Asia,https://flagcdn.com/w320/sa.png,..\output\imagenes_procesadas\sa.jpg
Senegal,SEN,2014,7858967.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.15,Dakar,Africa,Western Africa,https://flagcdn.com/w320/sn.png,..\output\imagenes_procesadas\sn.jpg
Serbia,SRB,2014,6141282.0,Europe & Central Asia (excluding high income),Upper middle income,0.83,Belgrade,Europe,Southern Europe,https://flagcdn.com/w320/rs.png,..\output\imagenes_procesadas\rs.jpg
Sierra Leone,SLE,2014,3858836.0,Sub-Saharan Africa (excluding high income),Low income,0.16,Freetown,Africa,Western Africa,https://flagcdn.com/w320/sl.png,..\output\imagenes_procesadas\sl.jpg
Singapore,SGP,2014,4691514.0,High income,High income,0.96,Singapore,Asia,South-Eastern Asia,https://flagcdn.com/w320/sg.png,..\output\imagenes_procesadas\sg.jpg
Slovenia,SVN,2014,1759867.0,High income,High income,0.97,Ljubljana,Europe,Southern Europe,https://flagcdn.com/w320/si.png,..\output\imagenes_procesadas\si.jpg
Somalia,SOM,2014,6719620.0,Sub-Saharan Africa (excluding high income),Low income,0.39,Mogadishu,Africa,Eastern Africa,https://flagcdn.com/w320/so.png,..\output\imagenes_procesadas\so.jpg
South Africa,ZAF,2014,38992463.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.7,Pretoria,Africa,Southern Africa,https://flagcdn.com/w320/za.png,..\output\imagenes_procesadas\za.jpg
Spain,ESP,2014,39593406.0,High income,High income,0.98,Madrid,Europe,Southern Europe,https://flagcdn.com/w320/es.png,..\output\imagenes_procesadas\es.jpg
Sri Lanka,LKA,2014,15433197.0,South Asia (excluding high income),Lower middle income,0.83,Sri Jayawardenepura Kotte,Asia,Southern Asia,https://flagcdn.com/w320/lk.png,..\output\imagenes_procesadas\lk.jpg
Sudan,SDN,2014,21021157.0,Sub-Saharan Africa (excluding high income),Low income,0.15,Khartoum,Africa,Northern Africa,https://flagcdn.com/w320/sd.png,..\output\imagenes_procesadas\sd.jpg
Sweden,SWE,2014,7971436.0,High income,High income,1.0,Stockholm,Europe,Northern Europe,https://flagcdn.com/w320/se.png,..\output\imagenes_procesadas\se.jpg
Switzerland,CHE,2014,6883205.0,High income,High income,0.98,Bern,Europe,Central Europe,https://flagcdn.com/w320/ch.png,..\output\imagenes_procesadas\ch.jpg
Tajikistan,TJK,2014,5217089.0,Europe & Central Asia (excluding high income),Lower middle income,0.11,Dushanbe,Asia,Central Asia,https://flagcdn.com/w320/tj.png,..\output\imagenes_procesadas\tj.jpg
Tanzania,TZA,2014,26884351.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.4,Dodoma,Africa,Eastern Africa,https://flagcdn.com/w320/tz.png,..\output\imagenes_procesadas\tz.jpg
Thailand,THA,2014,56707280.0,East Asia & Pacific (excluding high income),Upper middle income,0.78,Bangkok,Asia,South-Eastern Asia,https://flagcdn.com/w320/th.png,..\output\imagenes_procesadas\th.jpg
Togo,TGO,2014,4254423.0,Sub-Saharan Africa (excluding high income),Low income,0.18,Lomé,Africa,Western Africa,https://flagcdn.com/w320/tg.png,..\output\imagenes_procesadas\tg.jpg
Tunisia,TUN,2014,8426960.0,Middle East & North Africa (excluding high income),Lower middle income,0.27,Tunis,Africa,Northern Africa,https://flagcdn.com/w320/tn.png,..\output\imagenes_procesadas\tn.jpg
Uganda,UGA,2014,18082753.0,Sub-Saharan Africa (excluding high income),Low income,0.44,Kampala,Africa,Eastern Africa,https://flagcdn.com/w320/ug.png,..\output\imagenes_procesadas\ug.jpg
Ukraine,UKR,2014,39385204.0,Europe & Central Asia (excluding high income),Lower middle income,0.53,Kyiv,Europe,Eastern Europe,https://flagcdn.com/w320/ua.png,..\output\imagenes_procesadas\ua.jpg
United Arab Emirates,ARE,2014,6398423.0,High income,High income,0.84,Abu Dhabi,Asia,Western Asia,https://flagcdn.com/w320/ae.png,..\output\imagenes_procesadas\ae.jpg
United Kingdom,GBR,2014,52712003.0,High income,High income,0.99,London,Europe,Northern Europe,https://flagcdn.com/w320/gb.png,..\output\imagenes_procesadas\gb.jpg
United States,USA,2014,254715188.0,High income,High income,0.94,,Americas,Northern America,https://flagcdn.com/w320/um.png,..\output\imagenes_procesadas\um.jpg
Uruguay,URY,2014,2625287.0,High income,High income,0.46,Montevideo,Americas,South America,https://flagcdn.com/w320/uy.png,..\output\imagenes_procesadas\uy.jpg
Uzbekistan,UZB,2014,21374576.0,Europe & Central Asia (excluding high income),Lower middle income,0.41,Tashkent,Asia,Central Asia,https://flagcdn.com/w320/uz.png,..\output\imagenes_procesadas\uz.jpg
Zambia,ZMB,2014,8358295.0,Sub-Saharan Africa (excluding high income),Low income,0.36,Lusaka,Africa,Eastern Africa,https://flagcdn.com/w320/zm.png,..\output\imagenes_procesadas\zm.jpg
Zimbabwe,ZWE,2014,7862617.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.32,Harare,Africa,Southern Africa,https://flagcdn.com/w320/zw.png,..\output\imagenes_procesadas\zw.jpg
Afghanistan,AFG,2017,18807229.0,South Asia (excluding high income),Low income,0.15,Kabul,Asia,Southern Asia,https://flagcdn.com/w320/af.png,..\output\imagenes_procesadas\af.jpg
Albania,ALB,2017,2340965.0,Europe & Central Asia (excluding high income),Upper middle income,0.4,Tirana,Europe,Southern Europe,https://flagcdn.com/w320/al.png,..\output\imagenes_procesadas\al.jpg
Algeria,DZA,2017,28799702.0,Middle East & North Africa (excluding high income),Lower middle income,0.43,Algiers,Africa,Northern Africa,https://flagcdn.com/w320/dz.png,..\output\imagenes_procesadas\dz.jpg
Argentina,ARG,2017,33036043.0,Latin America & Caribbean (excluding high income),Upper middle income,0.49,Buenos Aires,Americas,South America,https://flagcdn.com/w320/ar.png,..\output\imagenes_procesadas\ar.jpg
Armenia,ARM,2017,2384230.0,Europe & Central Asia (excluding high income),Upper middle income,0.48,Yerevan,Asia,Western Asia,https://flagcdn.com/w320/am.png,..\output\imagenes_procesadas\am.jpg
Australia,AUS,2017,19621820.0,High income,High income,1.0,Canberra,Oceania,Australia and New Zealand,https://flagcdn.com/w320/au.png,..\output\imagenes_procesadas\au.jpg
Austria,AUT,2017,7481549.0,High income,High income,0.98,Vienna,Europe,Central Europe,https://flagcdn.com/w320/at.png,..\output\imagenes_procesadas\at.jpg
Azerbaijan,AZE,2017,7438923.0,Europe & Central Asia (excluding high income),Upper middle income,0.29,Baku,Asia,Western Asia,https://flagcdn.com/w320/az.png,..\output\imagenes_procesadas\az.jpg
Bahrain,BHR,2017,1137724.0,High income,High income,0.83,Manama,Asia,Western Asia,https://flagcdn.com/w320/bh.png,..\output\imagenes_procesadas\bh.jpg
Bangladesh,BGD,2017,111658076.0,South Asia (excluding high income),Lower middle income,0.5,Dhaka,Asia,Southern Asia,https://flagcdn.com/w320/bd.png,..\output\imagenes_procesadas\bd.jpg
Belarus,BLR,2017,7909969.0,Europe & Central Asia (excluding high income),Upper middle income,0.81,Minsk,Europe,Eastern Europe,https://flagcdn.com/w320/by.png,..\output\imagenes_procesadas\by.jpg
Belgium,BEL,2017,9407055.0,High income,High income,0.99,Brussels,Europe,Western Europe,https://flagcdn.com/w320/be.png,..\output\imagenes_procesadas\be.jpg
Benin,BEN,2017,6631280.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.38,Porto-Novo,Africa,Western Africa,https://flagcdn.com/w320/bj.png,..\output\imagenes_procesadas\bj.jpg
Bolivia,BOL,2017,7571421.0,Latin America & Caribbean (excluding high income),Lower middle income,0.54,Sucre,Americas,South America,https://flagcdn.com/w320/bo.png,..\output\imagenes_procesadas\bo.jpg
Bosnia and Herzegovina,BIH,2017,2982772.0,Europe & Central Asia (excluding high income),Upper middle income,0.59,Sarajevo,Europe,Southern Europe,https://flagcdn.com/w320/ba.png,..\output\imagenes_procesadas\ba.jpg
Botswana,BWA,2017,1470809.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.51,Gaborone,Africa,Southern Africa,https://flagcdn.com/w320/bw.png,..\output\imagenes_procesadas\bw.jpg
Brazil,BRA,2017,158478074.0,Latin America & Caribbean (excluding high income),Upper middle income,0.7,Brasília,Americas,South America,https://flagcdn.com/w320/br.png,..\output\imagenes_procesadas\br.jpg
Bulgaria,BGR,2017,6128150.0,Europe & Central Asia (excluding high income),Upper middle income,0.72,Sofia,Europe,Eastern Europe,https://flagcdn.com/w320/bg.png,..\output\imagenes_procesadas\bg.jpg
Burkina Faso,BFA,2017,10570484.0,Sub-Saharan Africa (excluding high income),Low income,0.43,Ouagadougou,Africa,Western Africa,https://flagcdn.com/w320/bf.png,..\output\imagenes_procesadas\bf.jpg
Cambodia,KHM,2017,10807431.0,East Asia & Pacific (excluding high income),Lower middle income,0.22,Phnom Penh,Asia,South-Eastern Asia,https://flagcdn.com/w320/kh.png,..\output\imagenes_procesadas\kh.jpg
Cameroon,CMR,2017,13358414.0,Sub-Saharan Africa (excluding high income),Lower middle income,0.35,Yaoundé,Africa,Middle Africa,https://flagcdn.com/w320/cm.png,..\output\imagenes_procesadas\cm.jpg
Canada,CAN,2017,30253020.0,High income,High income,1.0,Ottawa,Americas,Northern America,https://flagcdn.com/w320/ca.png,..\output\imagenes_procesadas\ca.jpg
Central African Republic,CAF,2017,2404000.0,Sub-Saharan Africa (excluding high income),Low income,0.14,Bangui,Africa,Middle Africa,https://flagcdn.com/w320/cf.png,..\output\imagenes_procesadas\cf.jpg
Chad,TCD,2017,7782131.0,Sub-Saharan Africa (excluding high income),Low income,0.22,N'Djamena,Africa,Middle Africa,https://flagcdn.com/w320/td.png,..\output\imagenes_procesadas\td.jpg
Chile,CHL,2017,14675996.0,High income,High income,0.74,Santiago,Americas,South America,https://flagcdn.com/w320/cl.png,..\output\imagenes_procesadas\cl.jpg
China,CHN,2017,1133758537.0,East Asia & Pacific (excluding high income),Upper middle income,0.8,Beijing,Asia,Eastern Asia,https://flagcdn.com/w320/cn.png,..\output\imagenes_procesadas\cn.jpg
Colombia,COL,2017,36092425.0,Latin America & Caribbean (excluding high income),Upper middle income,0.46,Bogotá,Americas,South America,https://flagcdn.com/w320/co.png,..\output\imagenes_procesadas\co.jpg
Costa Rica,CRI,2017,3790388.0,Latin America & Caribbean (excluding high income),Upper middle income,0.68,San José,Americas,Central America,https://flagcdn.com/w320/cr.png,..\output\imagenes_procesadas\cr.jpg
Croatia,HRV,2017,3508155.0,High income,High income,0.86,Zagreb,Europe,Southern Europe,https://flagcdn.com/w320/hr.png,..\output\imagenes_procesadas\hr.jpg
Cyprus,CYP,2017,1039880.0,High income,High income,0.89,Nicosia,Europe,Southern Europe,https://flagcdn.com/w320/cy.png,..\output\imagenes_procesadas\cy.jpg
Denmark,DNK,2017,4767144.0,High income,High income,1.0,Copenhagen,Europe,Northern Europe,https://flagcdn.com/w320/dk.png,..\output\imagenes_procesadas\dk.jpg
Dominican Republic,DOM,2017,7508555.0,Latin America & Caribbean (excluding high income),Upper middle income,0.56,Santo Domingo,Americas,Caribbean,https://flagcdn.com/w320/do.png,..\output\imagenes_procesadas\do.jpg
Ecuador,ECU,2017,11800828.0,Latin America & Caribbean (excluding high income),Upper middle income,0.51,Quito,Americas,South America,https://flagcdn.com/w320/ec.png,..\output\imagenes_procesadas\ec.jpg
El Salvador,SLV,2017,4464670.0,Latin America & Caribbean (excluding high income),Lower middle income,0.3,San Salvador,Americas,Central America,https://flagcdn.com/w320/sv.png,..\output\imagenes_procesadas\sv.jpg
Estonia,EST,2017,1103273.0,High income,High income,0.98,Tallinn,Europe,Northern Europe,https://flagcdn.com/w320/ee.png,..\output\imagenes_procesadas\ee.jpg
Ethiopia,ETH,2017,61575604.0,Sub-Saharan Africa (excluding high income),Low income,0.35,Addis Ababa,Africa,Eastern Africa,https://flagcdn.com/w320/et.png,..\output\imagenes_procesadas\et.jpg
Finland,FIN,2017,4600229.0,High income,High income,1.0,Helsinki,Europe,Northern Europe,https://flagcdn.com/w320/fi.png,..\output\imagenes_procesadas\fi.jpg
France,FRA,2017,54658275.0,High income,High income,0.94,Paris,Europe,Western Europe,https://flagcdn.com/w320/fr.png,..\output\imagenes_procesadas\fr.jpg
Gabon,GAB,2017,1332068.0,Sub-Saharan Africa (excluding high income),Upper middle income,0.59,Libreville,Africa,Middle Africa,https://flagcdn.com/w320/ga.png,..\output\imagenes_procesadas\ga.jpg
Georgia,GEO,2017,2987888.0,Europe & Central Asia (excluding high income),Upper middle income,0.61,Tbilisi,Asia,Western Asia,https://flagcdn.com/w320/ge.png,..\output\imagenes_procesadas\ge.jpg
